,link,id,rating,popularity
235,http://rozetka.com.ua/xiaomi_mi_max_3_32_grey_not/p12400677/#tab=characteristics,235,235,236
236,http://rozetka.com.ua/huawei_gr5_2017_gold/p13089769/#tab=characteristics,236,236,164
237,http://rozetka.com.ua/asus_zenfone_go_zb500kg_red/p13764333/#tab=characteristics,237,237,165
238,http://rozetka.com.ua/goclever_quantum2_500_n_graphite/p13789848/#tab=characteristics,238,238,166
239,http://rozetka.com.ua/goclever_quantum4_550_grey/p13789932/#tab=characteristics,239,239,167
240,http://rozetka.com.ua/zte_blade_l5_grey/p11874752/#tab=characteristics,240,240,237
241,http://rozetka.com.ua/xiaomi_mi_max_3_64_grey_not/p12400670/#tab=characteristics,241,241,238
242,http://rozetka.com.ua/alcatel_one_touch_idol_4s_6070k_gold/p12865342/#tab=characteristics,242,242,239
243,http://rozetka.com.ua/alcatel_8050d_metallic_silver/p12879048/#tab=characteristics,243,243,240
244,http://rozetka.com.ua/oneplus_3_graphite/p12373846/#tab=characteristics,244,244,241
245,http://rozetka.com.ua/meizu_pro6_32gb_gr_not/p9907370/#tab=characteristics,245,245,242
246,http://rozetka.com.ua/meizu_mx5_cgl_not/p11887926/#tab=characteristics,246,246,243
247,http://rozetka.com.ua/xiaomi_redmi_note4_3_64_sil/p12009103/#tab=characteristics,247,247,244
248,http://rozetka.com.ua/doogee_6924351602536/p12679725/#tab=characteristics,248,248,325
249,http://rozetka.com.ua/samsung_sm_j105hzwdsek/p7622471/#tab=characteristics,249,249,148
250,http://rozetka.com.ua/lenovo_vibe_k5_note_silver/p8086627/#tab=characteristics,250,250,149
251,http://rozetka.com.ua/apple_iphone_6s_plus_128gb_silver/p4701256/#tab=characteristics,251,251,245
252,http://rozetka.com.ua/xiaomi_mi5_pro_wh_not/p11887849/#tab=characteristics,252,252,246
253,http://rozetka.com.ua/xiaomi_redmi_note3_pro_332_sl_not/p11887891/#tab=characteristics,253,253,247
254,http://rozetka.com.ua/zte_blade_a910_gold/p11888472/#tab=characteristics,254,254,168
255,http://rozetka.com.ua/prestigio_grace_z5_5530_duo_rose_gold/p12483683/#tab=characteristics,255,255,248
256,http://rozetka.com.ua/alcatel_one_touch_idol_4_6055k_gold/p12828454/#tab=characteristics,256,256,249
257,http://rozetka.com.ua/philips_x586_dual_sim_white_gold/p12836119/#tab=characteristics,257,257,250
258,http://rozetka.com.ua/alcatel_5080x_satin_volcano_black/p12982942/#tab=characteristics,258,258,251
259,http://rozetka.com.ua/xiaomi_redmi_3_pr_32gb_gd_r/p11474446/#tab=characteristics,259,259,340
260,http://rozetka.com.ua/doogge_x6_pro_white/p8424991/#tab=characteristics,260,260,345
261,http://rozetka.com.ua/alcatel_pop_star_5022d_ss/p8900508/#tab=characteristics,261,261,151
262,http://rozetka.com.ua/doogge_x5_max_black/p9192131/#tab=characteristics,262,262,342
263,http://rozetka.com.ua/lg_class_h650e_gold/p5998713/#tab=characteristics,263,263,252
264,http://rozetka.com.ua/meizu_m2_note_16gb_gr_world_hf/p6667665/#tab=characteristics,264,264,348
265,http://rozetka.com.ua/htc_desire_626g_ds_blue/p4239176/#tab=characteristics,265,265,152
266,http://rozetka.com.ua/lenovo_pa030039ua/p8233856/#tab=characteristics,266,266,256
267,http://rozetka.com.ua/meizu_pro5_32gb_wh/p11055216/#tab=characteristics,267,267,253
268,http://rozetka.com.ua/xiaomi_mi_max_2_16_silver_not/p11055230/#tab=characteristics,268,268,254
269,http://rozetka.com.ua/xiaomi_redmi_note_2_gray/p6962903/#tab=characteristics,269,269,357
270,http://rozetka.com.ua/xiaomi_redmi_3i_pro_se_2_16gb_gray/p11206787/#tab=characteristics,270,270,361
271,http://rozetka.com.ua/samsung_sm_a720fzidsek/p13252358/#tab=characteristics,271,271,321
272,http://rozetka.com.ua/huawei_p8_lite_2017_white/p13721535/#tab=characteristics,272,272,276
273,http://rozetka.com.ua/pixus_jet_gold/p12635975/#tab=characteristics,273,273,258
274,http://rozetka.com.ua/lg_x155_titan/p5861481/#tab=characteristics,274,274,259
275,http://rozetka.com.ua/xiaomi_redmi_note4_3_32_sl_eu/p13678030/#tab=characteristics,275,275,303
276,http://rozetka.com.ua/sony_xperia_m5_dual_e5633_white/p4579418/#tab=characteristics,276,276,304
277,http://rozetka.com.ua/impression_imsmart_c501_black/p7152796/#tab=characteristics,277,277,260
